City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Pevek,RU,2022-01-30 22:54:18,69.7008,170.3133,-15.7,97,96,2.19,overcast clouds,0,0
1,Tiksi,RU,2022-01-30 22:54:19,71.6872,128.8694,-18.49,100,96,3.87,overcast clouds,0,0
2,Kodiak,US,2022-01-30 22:54:19,57.79,-152.4072,28.47,78,45,5.93,scattered clouds,0,0
3,Hithadhoo,MV,2022-01-30 22:54:20,-0.6,73.0833,81.55,70,76,8.93,broken clouds,0,0
4,Puerto Del Rosario,ES,2022-01-30 22:54:20,28.5004,-13.8627,65.88,68,0,11.5,haze,0,0
5,Puerto Ayora,EC,2022-01-30 22:54:21,-0.7393,-90.3518,82.36,75,100,8.46,overcast clouds,0,0
6,Itoman,JP,2022-01-30 22:54:21,26.1247,127.6694,59.02,53,40,24.16,scattered clouds,0,0
7,Lensk,RU,2022-01-30 22:54:22,60.7253,114.9278,-7.13,98,98,3.44,overcast clouds,0,0
8,Bagepalli,IN,2022-01-30 22:54:22,13.7847,77.7931,70.14,84,4,4.36,clear sky,0,0
9,Boca Do Acre,BR,2022-01-30 22:54:23,-8.7522,-67.3978,74.62,95,90,0.4,overcast clouds,0,0
10,Hilo,US,2022-01-30 22:54:23,19.7297,-155.09,79.11,64,69,4.0,broken clouds,0,0
11,Rikitea,PF,2022-01-30 22:54:24,-23.1203,-134.9692,76.86,70,100,5.06,overcast clouds,0,0
12,Canandaigua,US,2022-01-30 22:54:25,42.8742,-77.288,18.39,71,68,2.46,broken clouds,0,0
13,Lompoc,US,2022-01-30 22:53:41,34.6391,-120.4579,72.21,49,0,19.57,clear sky,0,0
14,Mataura,NZ,2022-01-30 22:54:26,-46.1927,168.8643,72.48,58,46,1.7,scattered clouds,0,0
15,Tasiilaq,GL,2022-01-30 22:54:26,65.6145,-37.6368,-3.75,53,97,10.58,overcast clouds,0,0
16,Helena,US,2022-01-30 22:51:52,46.5927,-112.0361,45.99,48,100,0.0,overcast clouds,0,0
17,Pierre,US,2022-01-30 22:52:20,44.3683,-100.351,43.72,49,0,1.01,clear sky,0,0
18,Asau,RO,2022-01-30 22:54:28,46.4333,26.4,40.39,65,99,16.69,overcast clouds,0,0
19,Maceio,BR,2022-01-30 22:52:49,-9.6658,-35.7353,81.84,83,20,4.61,few clouds,0,0
20,Port Alfred,ZA,2022-01-30 22:52:12,-33.5906,26.891,73.4,89,98,16.98,overcast clouds,0,0
21,Georgetown,MY,2022-01-30 22:54:29,5.4112,100.3354,80.89,94,20,3.0,few clouds,0,0
22,Desaguadero,PE,2022-01-30 22:54:30,-16.5656,-69.0417,52.65,68,88,8.9,overcast clouds,0,0
23,Barrow,US,2022-01-30 22:50:42,71.2906,-156.7887,-7.58,84,100,10.36,snow,0,0
24,Hofn,IS,2022-01-30 22:54:31,64.2539,-15.2082,26.15,51,1,20.49,clear sky,0,0
25,Leningradskiy,RU,2022-01-30 22:54:31,69.3833,178.4167,-14.48,95,81,3.74,broken clouds,0,0
26,Kahului,US,2022-01-30 22:51:01,20.8947,-156.47,82.42,53,20,18.41,few clouds,0,0
27,Butaritari,KI,2022-01-30 22:54:32,3.0707,172.7902,82.11,76,22,20.94,few clouds,0,0
28,Ushuaia,AR,2022-01-30 22:54:13,-54.8,-68.3,46.06,66,75,29.93,broken clouds,0,0
29,Kapaa,US,2022-01-30 22:54:11,22.0752,-159.319,81.12,83,10,1.01,clear sky,0,0
30,Busselton,AU,2022-01-30 22:54:33,-33.65,115.3333,64.09,61,92,17.98,overcast clouds,0,0
31,Kloulklubed,PW,2022-01-30 22:49:45,7.0419,134.2556,75.7,73,98,14.25,overcast clouds,0,0
32,Chuy,UY,2022-01-30 22:51:09,-33.6971,-53.4616,71.64,72,16,14.05,few clouds,0,0
33,Grand Forks,US,2022-01-30 22:50:11,47.9417,-97.4337,15.48,82,75,16.11,mist,0,0
34,Hermanus,ZA,2022-01-30 22:54:35,-34.4187,19.2345,71.91,86,97,12.84,overcast clouds,0,0
35,Bluff,NZ,2022-01-30 22:54:35,-46.6,168.3333,72.81,84,91,4.54,overcast clouds,0,0
36,Camacha,PT,2022-01-30 22:54:36,33.0833,-16.3333,61.56,82,20,17.27,few clouds,0,0
37,Punta Arenas,CL,2022-01-30 22:50:59,-53.15,-70.9167,51.91,50,75,23.02,broken clouds,0,0
38,Port Elizabeth,ZA,2022-01-30 22:54:37,-33.918,25.5701,70.09,94,20,11.5,few clouds,0,0
39,Atuona,PF,2022-01-30 22:54:39,-9.8,-139.0333,78.19,77,12,14.38,light rain,0,0
40,Pocatello,US,2022-01-30 22:54:39,42.8713,-112.4455,24.85,60,45,1.99,scattered clouds,0,0
41,Dingle,PH,2022-01-30 22:54:40,10.9995,122.6711,75.38,92,55,4.34,broken clouds,0,0
42,Balikpapan,ID,2022-01-30 22:54:41,-1.2675,116.8289,76.19,94,20,5.75,heavy intensity rain,0,0
43,Dikson,RU,2022-01-30 22:54:42,73.5069,80.5464,-4.4,94,100,21.59,overcast clouds,0,0
44,Thiruvananthapuram,IN,2022-01-30 22:54:42,8.4833,76.9167,78.78,89,20,3.44,mist,0,0
45,Nouadhibou,MR,2022-01-30 22:54:43,20.931,-17.0347,66.18,59,100,17.27,overcast clouds,0,0
46,Gobo,JP,2022-01-30 22:54:43,33.8833,135.15,42.75,77,80,12.01,broken clouds,0,0
47,Narodychi,UA,2022-01-30 22:54:44,51.2029,29.0823,30.96,94,100,17.43,light snow,0,0
48,Fort-Shevchenko,KZ,2022-01-30 22:54:45,44.5086,50.263,37.6,82,92,6.85,overcast clouds,0,0
49,Ponta Do Sol,PT,2022-01-30 22:54:46,32.6667,-17.1,65.12,39,1,9.64,clear sky,0,0
50,Digoin,FR,2022-01-30 22:54:46,46.4812,3.9795,39.29,93,100,0.0,overcast clouds,0,0
51,Borogontsy,RU,2022-01-30 22:54:48,62.6683,131.1683,-37.79,100,72,0.4,broken clouds,0,0
52,Akalkot,IN,2022-01-30 22:54:49,17.5333,76.2167,68.61,25,0,7.52,clear sky,0,0
53,New Norfolk,AU,2022-01-30 22:54:49,-42.7826,147.0587,72.66,49,3,2.62,clear sky,0,0
54,Cape Town,ZA,2022-01-30 22:52:15,-33.9258,18.4232,73.81,76,0,4.0,clear sky,0,0
55,Jamestown,US,2022-01-30 22:53:38,42.097,-79.2353,19.04,55,100,1.01,overcast clouds,0,0
56,Grao Mogol,BR,2022-01-30 22:54:51,-16.5594,-42.8897,66.74,91,100,2.89,overcast clouds,0,0
57,Lerwick,GB,2022-01-30 22:54:51,60.1545,-1.1494,39.2,97,100,10.13,overcast clouds,0,0
58,East London,ZA,2022-01-30 22:54:11,-33.0153,27.9116,74.66,83,86,14.65,overcast clouds,0,0
59,Tuktoyaktuk,CA,2022-01-30 22:54:52,69.4541,-133.0374,-0.4,85,100,24.16,light snow,0,0
60,Athmallik,IN,2022-01-30 22:54:52,20.7219,84.5348,55.89,39,2,0.47,clear sky,0,0
61,Ostrovnoy,RU,2022-01-30 22:54:53,68.0531,39.5131,8.6,97,95,8.48,overcast clouds,0,0
